has_job,has_car,has_house,loan_hist,risk_tol,num_children,loan_amount,loan_purpose,trust,fin_lit,id,qualified,group
1,1,0,2.0,0.4434760334259429,1.0,76237.0,5.0,0.9417586057087973,0.966559075389419,0,1,A
1,1,0,1.0,0.617598580705889,2.0,46421.0,2.0,0.8987826938181601,0.6027160699731149,1,0,B
1,0,1,1.0,0.3913756153663716,1.0,47930.0,1.0,0.8619164044518598,0.9540463902758355,2,1,A
1,0,0,0.0,0.5412200444086935,1.0,76784.0,4.0,0.9393074678687179,0.7335092178866376,3,0,B
0,1,1,1.0,0.19565252847051698,1.0,18392.0,3.0,0.693403488853421,0.3517935799438308,5,1,A
0,1,1,0.0,0.32385371124968965,4.0,81066.0,1.0,0.7932677572239898,0.610053822257324,8,0,A
0,1,1,0.0,1.0,4.0,42271.0,5.0,0.8538434764212178,0.8436265806327852,9,0,B
1,0,0,1.0,0.9204849049565494,0.0,93136.0,4.0,0.9003630236875735,0.8166550747586535,10,0,B
1,1,1,1.0,0.2915938943059431,2.0,37535.0,2.0,0.8930972961624629,0.7382175148131274,11,1,A
1,1,1,2.0,0.2913744440481595,1.0,39219.0,1.0,0.9063168114296482,0.6199802026564063,12,1,A
1,0,1,0.0,0.9003740602397028,2.0,47606.0,2.0,0.903427560682935,0.8335092178866377,13,0,B
1,1,1,2.0,0.2584664230077932,3.0,74799.0,4.0,0.9221432840251161,0.8404399911139484,14,0,A
1,1,1,1.0,0.32713190809538256,3.0,63424.0,3.0,0.773030664241413,0.6259584860846026,15,1,A
1,0,0,3.0,0.4926976065112795,2.0,67125.0,4.0,0.741304541857983,0.960628325311221,16,1,A
1,1,0,0.0,0.46136764011015025,0.0,91439.0,2.0,0.8197172620083113,0.5402239554827162,17,0,B
0,1,0,1.0,0.3118221443202364,0.0,76317.0,3.0,0.6636082587495289,0.2693827450900467,18,0,B
1,0,0,0.0,0.7180506021598141,1.0,50135.0,5.0,0.7110109922134439,0.8359095379634596,20,0,B
1,1,1,1.0,0.4390668185236196,2.0,69510.0,1.0,0.6457590414015576,0.5678206609425416,21,0,A
1,1,0,0.0,0.6801630376586736,2.0,67424.0,4.0,0.9579650809329051,0.7079441541679836,23,0,B
1,1,0,1.0,0.37720510534016627,1.0,74923.0,1.0,0.9428314271603856,0.8079441541679837,24,0,B
1,0,1,1.0,0.6948987057886106,3.0,93611.0,3.0,0.6852469323594816,0.5227499259862892,26,0,B
0,1,0,1.0,0.7637739402926811,2.0,25095.0,4.0,0.95,0.7198136987677788,28,0,B
1,1,1,1.0,0.38297981231777545,0.0,91205.0,5.0,0.6407379374982142,0.566855320914675,29,0,A
1,0,0,3.0,0.33641596954147185,1.0,26011.0,4.0,1.0,0.942583076070073,30,1,A
1,1,1,0.0,0.36542784543277473,2.0,82910.0,3.0,0.8111198024606696,0.6071598733418586,33,0,A
1,1,0,1.0,0.7543262976610972,2.0,38255.0,5.0,0.95,0.8270513780350958,35,0,B
1,1,1,1.0,0.32919027948779717,4.0,97562.0,3.0,0.6980569303684659,0.5858196087119153,36,0,A
1,1,0,0.0,0.38529779905286526,1.0,67104.0,5.0,0.95,0.8582439055922503,37,0,A
0,1,0,0.0,0.6803090928701082,4.0,30036.0,1.0,0.7771974072701178,0.5878953652678097,38,0,B
0,0,0,1.0,0.659462551435032,1.0,60615.0,1.0,0.95,0.8270513780350958,41,0,B
1,1,1,1.0,0.4162609100451273,1.0,29597.0,5.0,1.0,0.9636669492803462,42,1,A
1,1,0,0.0,0.5781534079477392,2.0,41604.0,1.0,0.95,0.7393390427938564,43,0,B
0,0,0,1.0,0.3001134975136535,1.0,68183.0,3.0,0.95,0.7097904536879888,44,0,B
0,1,1,1.0,0.7060206177226421,4.0,14244.0,5.0,0.95,0.7404399911139483,45,0,B
1,1,1,2.0,0.3802064974143095,4.0,47431.0,4.0,1.0,0.7672608377752104,46,1,A
1,0,0,1.0,0.6630425908584292,3.0,64476.0,4.0,0.5929720503898617,0.7182551695835832,48,0,B
1,1,0,0.0,0.4155584617274519,2.0,85718.0,3.0,0.6769670845117106,0.5880787055733292,49,0,A
1,1,1,1.0,0.5218822003173144,2.0,82512.0,3.0,0.5518567470077631,0.3440034781247714,50,0,A
1,1,0,1.0,0.44058443105991935,4.0,24404.0,2.0,0.8913763269429491,0.6114621848950632,51,1,A
1,0,0,0.0,0.6748290659729105,4.0,45601.0,2.0,0.8176794692441233,0.5996428835670935,52,0,B
1,1,0,1.0,0.45963725281325507,1.0,14763.0,4.0,0.8101743302964581,0.6016788797217225,53,0,B
1,1,0,0.0,0.6438662283860825,2.0,42512.0,1.0,0.95,0.8228143240022585,54,0,B
1,1,1,1.0,0.7009877423628778,0.0,93717.0,3.0,0.95,0.8213327672468362,55,0,B
1,1,1,2.0,0.44765981778375147,0.0,38560.0,5.0,0.8554277896478165,0.8549097145229616,57,1,A
0,1,0,0.0,0.5803136481470565,0.0,12979.0,3.0,0.95,0.8115816314769697,58,0,B
1,0,0,0.0,0.45940927199701254,0.0,87849.0,1.0,0.8378236766375098,0.5261629753418156,59,0,B
1,1,1,1.0,0.39718993062190305,0.0,68954.0,3.0,1.0,0.915849007930599,60,1,A
1,0,1,0.0,0.8122114900697719,1.0,35156.0,5.0,0.7966085271870769,0.5965656342261961,62,0,B
1,0,0,2.0,0.3399623513654966,1.0,84277.0,4.0,0.7014973290433671,0.5658891898269585,63,0,A
1,1,0,0.0,0.2835816160773927,3.0,74304.0,2.0,0.95,0.7693181821839283,64,0,A
1,1,1,1.0,0.269407113405464,3.0,83005.0,5.0,0.740089965509764,0.5816792362872724,65,0,A
1,1,1,1.0,0.37590595988848746,2.0,49469.0,3.0,1.0,1.0,66,1,A
1,0,1,2.0,0.3440172682114707,4.0,27842.0,3.0,1.0,0.8065999671409634,67,1,A
1,1,0,1.0,0.6822895239136308,2.0,54966.0,4.0,0.8772547565728597,0.5699827152528187,69,0,B
1,0,1,0.0,0.4972708347120691,3.0,40389.0,4.0,0.7842286347906169,0.5896076332310416,70,0,B
1,0,0,1.0,0.7841420316555328,4.0,76248.0,4.0,0.6663159642366163,0.5446132730603306,71,0,B
1,1,1,1.0,0.2322599961812175,1.0,37124.0,1.0,0.9230139190455235,0.5884281774670956,73,1,B
0,0,0,1.0,0.5438965712384395,0.0,62802.0,5.0,0.9218433913699379,0.7297184837893457,74,0,B
